,nomfichier,date,usr,titre,genre,K.DuM,K.NbTouches,K.NbTouchesFreq,K.NbAppuis,K.NbAppuisS,K.TpMoyEntreAppuis,K.TpSDEntreAppuis,K.TpMoyAppui,K.TpSDAppui,K.TpsAppui,K.PropAct,K.ToucheFreq,K.PropFreq,K.TpMoyAppuiFreq,K.TpSDAppuiFreq,M.DuM,M.NbClics,M.NbCliclsS,M.TpsClickR,M.TpsClickL,M.TpsClickM,M.TpsTotClick,M.MoyTpsClickR,M.SDTpsClickR,M.MoyTpsClickL,M.SDTpsClickL,M.MoyTpsClickM,M.SDTpsClickM,M.LR,M.Scroll,M.TpMoyEntreAppuis,M.TpSDEntreAppuis,M.Vit,M.VitTrueXY,P.DuM,P.NbTouches,P.NbTouchesFreq,P.NbAppuis,P.NbAppuisS,P.TpMoyEntreAppuis,P.TpSDEntreAppuis,P.TpMoyAppui,P.TpSDAppui,P.ToucheFreq,P.PropFreq,P.TpMoyEntreAppuisFreq,P.TpSDEntreAppuisFreq,P.TpMoyAppuiFreq,P.TpSDAppuiFreq,P.Vit,P.VitG,P.VitD
1,2013.12.29.RH.LOL.zip,2013.12.29,RH,LOL,moba,15.506883335117,29,13,533,0.57286387866323,1.7453477445394,4.82405836528281,0.177452154060941,0.388491659483315,94.5819981144814,0.101655929252496,E,46.7166979362101,0.12359035733928,0.073001114385711,16.0757666667333,2600,2.69556869240992,0,0,0,0,NA,NA,NA,NA,NA,NA,4.15384615384615,0,0.367656791150577,1.18999785786721,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2013.12.29.RH.NaturalSelection2.zip,2013.12.29,RH,NaturalSelection2,fps,4.148050002253,8,6,850,3.41525937704996,0.290081272136502,0.342175461565478,0.46962011691613,1.48412342640169,396.82899879413,1.59443995202,Rcontrol,69.5294117647059,0.125548228395161,0.0937423484000012,4.3435499986,20,0.0767421425886135,0,0,0,0,NA,NA,NA,NA,NA,NA,95,0,12.8985263046421,26.6983989776983,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2013.12.29.RH.WorldOfTank.zip,2013.12.29,RH,WorldofTank,fps,5.96761666535667,12,8,166,0.46361333540872,2.11797575661455,2.76563090617178,1.67299999999252,3.66412553231321,245.9309999989,0.686848742107783,D,27.1084337349398,0.721866671275557,0.742038982383291,6.74816666841667,11,0.0271678727485178,0,0,0,0,NA,NA,NA,NA,NA,NA,100,0,40.388100004206,74.2914751736698,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2013.12.30.RH.AgeOfEmpire2.zip,2013.12.30,RH,AgeOfEmpire2,strat.str,39.6930166681358,8,5,41,0.0172154547749929,57.8847499966175,75.8427562985176,0.781999988973176,0.946715070085734,32.0619995479002,0.0134624854442127,Lshift,68.2926829268293,1.0937856771393,1.00464364644597,39.8264666676667,1067,0.446520488039448,0,0,0,0,NA,NA,NA,NA,NA,NA,71.7900656044986,0,2.24036585367725,2.47654285585486,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2013.12.30.RH.NaturalSelection2.zip,2013.12.30,RH,NaturalSelection2,fps,29.1640999993352,35,10,2717,1.55270806691671,0.644271723125961,1.01678434948872,0.648401446200975,1.22424490465439,1703.99900061616,0.973799409007996,Rcontrol,23.9602502760397,0.256035333750386,0.284035318582568,29.3938166658333,529,0.29994970598408,0,0,0,0,NA,NA,NA,NA,NA,NA,98.2986767485822,0,3.33960795447966,5.83096413603365,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2013.12.30.RH.Touhou14.zip,2013.12.30,RH,Touhou14,arcade,29.2790333351022,14,7,4486,2.55359068077668,0.389979487146832,0.819095632660014,0.875594798750847,4.38187194303473,3837.73200292496,2.18457349041186,Left,23.4507356219349,0.243230988708413,0.230684534694962,29.4211833358333,4,0.00226594103662277,0,0,0,0,NA,NA,NA,NA,NA,NA,100,0,588.119000038556,1016.56147351078,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2013.12.31.RH.TF2.zip,2013.12.31,RH,TF2,fps,9.18058333396917,13,7,831,1.50861873327302,0.663519277055602,0.977006731957149,0.664302242618309,1.0885437783628,534.099003065121,0.96961704145185,Left,25.150421179302,0.627014346079283,0.922591611389757,9.283616666,210,0.377008242145357,0,0,0,0,NA,NA,NA,NA,NA,NA,76.6666666666667,0,2.65992344509498,3.84576804928184,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2013.12.31.RH.WarThunder.zip,2013.12.31,RH,WarThunder,simu,4.89634999830967,19,14,160,0.54462337610409,1.84701886716717,3.42079230505185,0.318137496713001,0.423659249905299,50.9019994740801,0.173265117525138,Right,24.375,0.371384602356412,0.64874750869751,5.06080000003333,31,0.102091895878767,0,0,0,0,NA,NA,NA,NA,NA,NA,61.2903225806452,0,10.0925666650167,16.3766945173892,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2014.01.04.MT.DayZ.s1.zip,2014.01.04,MT,DayZ,fps,54.62585000205,20,11,1091,0.332870487738881,3.00483577994771,5.75828297268651,2.1888423105,9.27685958633088,2276.39600292,0.69454174865153,Z,32.9055912007333,4.69197493473259,15.4186607674591,56.6921833316667,179,0.052623362834342,0,0,0,0,NA,NA,NA,NA,NA,NA,63.6871508379888,0,19.1026123588066,51.8230879513372,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2014.01.04.MT.DayZ.s2.zip,2014.01.04,MT,DayZ,fps,17.3178166667333,14,9,178,0.17130719904002,5.84771186482486,8.80970975594465,4.11598856940571,12.9738646975993,720.297999646,0.693214790974639,Z,43.8202247191011,7.66614101184616,18.8073797390735,19.2392500003333,69,0.0597736398238016,0,0,0,0,NA,NA,NA,NA,NA,NA,42.0289855072464,0,16.9542647074387,36.0296646195017,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2014.01.04.MT.DayZ.s3.zip,2014.01.04,MT,DayZ,fps,9.48193333546833,9,7,143,0.251355208796732,3.99614084606408,4.18802846115311,3.81549295405845,10.0815331114222,541.799999476299,0.952337426534506,Z,43.3566433566434,6.94564515928548,14.6742396831453,11.3100333333,28,0.0412612989647577,0,0,0,0,NA,NA,NA,NA,NA,NA,25,0,25.0818888876141,55.3887252080621,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2014.01.04.MT.DayZ.s4.zip,2014.01.04,MT,DayZ,fps,99.1508333326,17,9,1270,0.213479463109134,4.68791095340898,13.6838387131807,2.67620263396869,7.70272845570835,3248.90999763798,0.546122489752484,Z,37.0866141732283,4.58698513238852,11.7583747206065,102.120366664667,533,0.0869888507402602,0,0,0,0,NA,NA,NA,NA,NA,NA,36.7729831144465,0,11.5134567667598,22.292476760376,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2014.01.04.RH.NaturalSelection2.zip,2014.01.04,RH,NaturalSelection2,fps,6.23383333285667,18,11,485,1.2966874315886,0.772785123715703,1.10872943269634,0.651924205577263,1.4455414401306,309.6639976492,0.827912193334434,Rcontrol,35.8762886597938,0.170218393739081,0.184947946473026,6.56419999996667,41,0.104100017265897,0,0,0,0,NA,NA,NA,NA,NA,NA,100,0,9.32810000181,13.1418012034315,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2014.01.05.MT.DayZ.s1.zip,2014.01.05,MT,DayZ,fps,24.9433166663183,14,8,465,0.310704470607353,3.22523060338168,16.4058726752583,1.18427211946305,2.84360016998141,535.2909979973,0.357671626136845,Z,36.989247311828,1.81481976421279,4.21400350065651,25.6994500001667,114,0.0739315432815752,0,0,0,0,NA,NA,NA,NA,NA,NA,34.2105263157895,0,13.329769910985,28.4792739830738,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2014.01.05.MT.DayZ.s2.zip,2014.01.05,MT,DayZ,fps,10.794016663235,12,12,161,0.248594514632621,4.04711874872562,6.59705266278604,1.36898089523312,4.15984173545691,214.9300005516,0.331865957559715,Z,32.2981366459627,2.77524999480769,6.85410687341667,12.4595666647,81,0.108350477695566,0,0,0,0,NA,NA,NA,NA,NA,NA,20.9876543209877,0,9.328887498382,15.9073598533648,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2014.01.06.MT.GoT.s1.zip,2014.01.06,MT,CyanideGoT,aventure.action,107.052150003065,20,8,721,0.112250586899213,8.91943750017208,39.0055620820323,0.729903363638933,2.05116643700304,521.151001638198,0.0811366238515959,Space,34.9514563106796,0.128968257500002,0.0242110449944776,107.848716668333,1165,0.180036140127459,0,0,0,0,NA,NA,NA,NA,NA,NA,61.6309012875537,0,5.55549656361883,14.9680934736091,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
